Date,Number of Deaths
1/1/2012,1
1/3/2012,1
1/4/2012,1
1/5/2012,1
1/7/2012,1
1/8/2012,3
1/11/2012,1
1/12/2012,2
1/13/2012,1
1/14/2012,2
1/15/2012,1
1/16/2012,1
1/18/2012,1
1/20/2012,1
1/22/2012,1
1/23/2012,1
1/26/2012,2
1/27/2012,1
1/28/2012,2
1/29/2012,1
1/30/2012,2
1/31/2012,3
2/1/2012,1
2/2/2012,3
2/3/2012,1
2/6/2012,2
2/7/2012,1
2/8/2012,2
2/10/2012,1
2/13/2012,1
2/17/2012,1
2/19/2012,2
2/20/2012,1
2/21/2012,2
2/22/2012,1
2/23/2012,1
2/25/2012,4
2/28/2012,2
2/29/2012,1
3/1/2012,1
3/2/2012,1
3/3/2012,2
3/4/2012,1
3/9/2012,2
3/10/2012,1
3/12/2012,2
3/14/2012,1
3/16/2012,1
3/17/2012,1
3/20/2012,1
3/21/2012,2
3/22/2012,1
3/23/2012,2
3/26/2012,2
3/27/2012,2
3/30/2012,1
4/1/2012,3
4/3/2012,2
4/5/2012,1
4/6/2012,3
4/7/2012,1
4/8/2012,1
4/9/2012,3
4/11/2012,1
4/12/2012,2
4/14/2012,1
4/15/2012,2
4/20/2012,1
4/21/2012,1
4/22/2012,1
4/23/2012,1
4/25/2012,1
4/27/2012,1
4/28/2012,3
4/29/2012,1
5/1/2012,1
5/4/2012,1
5/6/2012,2
5/7/2012,1
5/11/2012,1
5/13/2012,1
5/14/2012,1
5/16/2012,4
5/17/2012,1
5/18/2012,1
5/19/2012,1
5/20/2012,2
5/23/2012,2
5/24/2012,3
5/28/2012,1
5/29/2012,2
5/30/2012,2
5/31/2012,1
6/1/2012,1
6/6/2012,1
6/8/2012,2
6/9/2012,1
6/10/2012,2
6/13/2012,1
6/15/2012,1
6/16/2012,2
6/18/2012,1
6/19/2012,1
6/20/2012,2
6/21/2012,1
6/22/2012,2
6/23/2012,1
6/25/2012,1
6/26/2012,1
6/27/2012,1
6/29/2012,4
6/30/2012,2
7/1/2012,1
7/2/2012,1
7/3/2012,2
7/4/2012,1
7/5/2012,1
7/6/2012,1
7/7/2012,3
7/9/2012,1
7/11/2012,2
7/12/2012,1
7/13/2012,1
7/15/2012,1
7/16/2012,1
7/17/2012,2
7/20/2012,1
7/23/2012,2
7/26/2012,1
7/27/2012,2
7/28/2012,2
7/29/2012,1
7/30/2012,1
8/4/2012,1
8/5/2012,1
8/7/2012,1
8/8/2012,2
8/9/2012,1
8/10/2012,1
8/12/2012,1
8/13/2012,1
8/14/2012,1
8/15/2012,1
8/17/2012,1
8/18/2012,2
8/20/2012,3
8/21/2012,1
8/22/2012,2
8/23/2012,1
8/24/2012,1
8/25/2012,1
8/26/2012,1
8/27/2012,2
8/28/2012,1
8/29/2012,1
8/30/2012,1
8/31/2012,2
9/1/2012,1
9/4/2012,1
9/5/2012,3
9/6/2012,1
9/7/2012,2
9/8/2012,1
9/9/2012,1
9/11/2012,1
9/13/2012,2
9/14/2012,2
9/15/2012,1
9/16/2012,2
9/17/2012,1
9/19/2012,2
9/23/2012,1
9/25/2012,2
9/28/2012,1
9/30/2012,2
10/1/2012,3
10/3/2012,1
10/4/2012,2
10/6/2012,1
10/7/2012,1
10/8/2012,1
10/9/2012,1
10/10/2012,1
10/11/2012,1
10/13/2012,3
10/16/2012,2
10/17/2012,2
10/18/2012,1
10/19/2012,1
10/21/2012,1
10/22/2012,1
10/23/2012,4
10/24/2012,2
10/25/2012,1
10/27/2012,2
10/29/2012,3
10/30/2012,1
11/2/2012,3
11/4/2012,3
11/6/2012,1
11/7/2012,2
11/9/2012,3
11/11/2012,2
11/16/2012,1
11/17/2012,1
11/20/2012,2
11/24/2012,2
11/25/2012,1
11/26/2012,2
11/28/2012,1
11/30/2012,3
12/1/2012,3
